"mean_2b","mean_3b","diff_means","sd_2b","sd_3b","diff_sd","cor"
"bio1",10.6616395354839,11.0876062353446,-0.425966699860728,14.6831700420048,14.5289166693495,0.154253372655283,0.995265310508417
"bio2",23.4196300754258,22.5881797493137,0.831450326112076,6.05826985123955,5.92620368654409,0.132066164695462,0.939579000545024
"bio3",55.5261978984692,54.581235100184,0.944962798285204,13.1014052662309,13.7275764658526,-0.626171199621719,0.96607957100696
"bio4",829.397086593331,844.851637084538,-15.4545504912063,508.909197293781,528.948884446348,-20.0396871525673,0.991447768755818
"bio5",32.5816827826234,32.7157719191435,-0.134089136520089,10.4066320814446,10.10809471427,0.29853736717458,0.974265570020359
"bio6",-12.9772540180135,-12.334124133672,-0.643129884341564,22.2713545551101,22.122679642099,0.148674913011053,0.992942823382069
"bio7",45.5589373236345,45.0498966293765,0.509040694257955,17.5132247591481,17.9100885167901,-0.396863757642038,0.983076911342645
"bio8",16.0451919031336,16.211217077764,-0.16602517463031,12.5262077354908,12.6338787235057,-0.10767098801491,0.917276759951425
"bio9",6.45881222771656,6.69140017306789,-0.232587945351329,19.2445281404616,19.655179556319,-0.410651415857433,0.971228447035705
"bio10",20.8061565701913,21.3830854291861,-0.576928858994748,10.0279058188349,9.7924346271617,0.235471191673224,0.987101698556821
"bio11",0.652287722840823,0.805367409469999,-0.153079686629176,19.5302768195294,19.648232992513,-0.117956172983554,0.995975306453999
"bio12",788.322562062112,808.357756432777,-20.0351943706647,735.458232570046,735.656710685801,-0.198478115755506,0.975933609786603
"bio13",134.063895895197,135.083757926406,-1.01986203120833,127.321510552505,127.112278716205,0.209231836299807,0.959096622545035
"bio14",22.1944571167214,23.8914688653011,-1.69701174857967,31.6610257443347,32.4602998064631,-0.799274062128415,0.927123815926575
"bio15",61.2432327579938,59.3505915818137,1.89264117618002,34.7923091248686,33.682683932802,1.10962519206655,0.927818365276696
"bio16",344.889592857317,351.259560365211,-6.36996750789331,329.514974269878,330.505278389844,-0.990304119965572,0.971527879551746
"bio17",82.1059299484288,86.2362028833764,-4.13027293494763,109.808460717571,110.305569948687,-0.497109231116085,0.942976032034646
"bio18",233.860690846721,239.77794267274,-5.91725182601928,221.824251075198,223.222814462487,-1.39856338728939,0.929447482038228
"bio19",146.021384909894,147.199559676633,-1.17817476673937,209.744865418908,208.558739386794,1.18612603211389,0.88586062780038
